City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Erzin,TR,12/20/21 2:53,36.9559,36.2,46.92,90,100,9.82
180,Puerto Ayora,EC,12/20/21 2:53,-0.7393,-90.3518,69.67,92,100,7
181,Carahue,CL,12/20/21 2:53,-38.7,-73.1667,57.4,94,15,2.21
182,Vera Cruz,BR,12/20/21 2:53,-12.6333,-41.0333,70.25,89,100,1.19
184,Mackay,AU,12/20/21 2:52,-21.15,149.2,90.68,62,14,10.36
185,Tikrit,IQ,12/20/21 2:53,34.6071,43.6782,53.55,56,100,8.81
186,Saldanha,ZA,12/20/21 2:53,-33.0117,17.9442,60.85,84,94,3.8
188,Hanover,DE,12/20/21 2:53,52.3705,9.7332,37.85,93,0,3.44
189,Papetoai,PF,12/20/21 2:53,-17.4961,-149.8729,81.99,72,26,10.85
190,Chuy,UY,12/20/21 2:53,-33.6971,-53.4616,65.79,88,0,9.64
191,Torbay,CA,12/20/21 2:53,47.6666,-52.7314,24.58,79,90,5.75
192,Forest Grove,US,12/20/21 2:53,45.5198,-123.1107,41.59,84,100,1.01
193,Champerico,GT,12/20/21 2:53,14.3,-91.9167,80.76,79,2,7.94
194,Qidong,CN,12/20/21 2:53,31.8128,121.6561,60.04,43,11,9.37
195,Ulladulla,AU,12/20/21 2:52,-35.35,150.4667,86.77,49,4,9.31
196,Honningsvag,NO,12/20/21 2:53,70.9821,25.9704,30.97,53,100,16.96
198,Sola,VU,12/20/21 2:53,-13.8833,167.55,82.08,73,82,6.67
199,Mbarara,UG,12/20/21 2:53,-0.608,30.65,62.49,93,100,1.9
200,Kununurra,AU,12/20/21 2:53,-15.7667,128.7333,94.98,52,85,11.5
201,Vardo,NO,12/20/21 2:53,70.3705,31.1107,28.35,68,100,23.42
202,Benjamin Hill,MX,12/20/21 2:53,30.1667,-111.1,57.16,35,0,3.71
206,Zemio,CF,12/20/21 2:53,5.0314,25.1361,71.19,47,100,3.71
207,Flinders,AU,12/20/21 2:53,-34.5833,150.8552,87.8,68,10,9.4
208,Port Hedland,AU,12/20/21 2:53,-20.3167,118.5667,93.25,66,75,27.63
209,Huarmey,PE,12/20/21 2:53,-10.0681,-78.1522,67.71,84,71,6.44
210,Souillac,MU,12/20/21 2:53,-20.5167,57.5167,80.37,83,40,5.75
211,Kasongo,CD,12/20/21 2:53,-4.45,26.6667,67.91,99,100,2.37
212,Puerto Parra,CO,12/20/21 2:53,6.6515,-74.0573,73.94,98,99,1.41
213,Kano,NG,12/20/21 2:53,12.0001,8.5167,60.96,25,2,10.89
214,Sept-Iles,CA,12/20/21 2:53,50.2001,-66.3821,12.06,73,40,3
215,Bubaque,GW,12/20/21 2:53,11.2833,-15.8333,81.25,53,4,15.23
216,Viking,CA,12/20/21 2:53,53.1001,-111.7684,12.33,100,46,6.6
217,La Joya,MX,12/20/21 2:53,18.6667,-99.4667,72.39,62,81,4.68
218,Tonstad,NO,12/20/21 2:53,58.6626,6.7169,32.25,57,0,3.74
219,Ussel,FR,12/20/21 2:53,45.55,2.3167,32.31,71,0,3.13
220,Nanortalik,GL,12/20/21 2:53,60.1432,-45.2371,39.13,72,100,27.87
223,Thunder Bay,CA,12/20/21 2:51,48.4001,-89.3168,27.55,86,90,6.91
224,Bethel,US,12/20/21 2:53,41.3712,-73.414,29.05,71,4,1.99
225,Beringovskiy,RU,12/20/21 2:53,63.05,179.3167,3.04,88,100,9.91
226,Charters Towers,AU,12/20/21 2:53,-20.1,146.2667,94.24,25,88,10.51
227,Kathmandu,NP,12/20/21 2:49,27.7167,85.3167,41.22,93,20,3.44
230,Tonj,SS,12/20/21 2:53,7.2737,28.6822,74.32,35,82,6.78
231,High Level,CA,12/20/21 2:53,58.5169,-117.136,1.51,92,75,2.3
233,Presidente Medici,BR,12/20/21 2:54,-11.1753,-61.9014,73.29,98,100,2.84
235,Waynesville,US,12/20/21 2:51,35.4887,-82.9887,42.73,88,54,1.99
236,Namibe,AO,12/20/21 2:51,-15.1961,12.1522,68.76,71,56,8.34
237,Methala,IN,12/20/21 2:54,10.2166,76.2166,75.2,64,1,4.32
238,Ilulissat,GL,12/20/21 2:54,69.2167,-51.1,26.37,69,100,8.48
239,Toowoomba,AU,12/20/21 2:54,-27.55,151.9667,87.26,50,100,1.01
240,Kosa,RU,12/20/21 2:54,59.9445,54.9977,2.34,97,92,5.44
241,Sur,OM,12/20/21 2:54,22.5667,59.5289,67.96,66,23,2.15
242,Oktyabrskiy,RU,12/20/21 2:54,54.4815,53.471,24.67,93,98,17.67
243,Nioro,GM,12/20/21 2:54,13.35,-15.75,75.45,17,51,7.92
244,Arawa,PG,12/20/21 2:54,-6.2132,155.5367,84.27,82,100,3.6
245,Beloha,MG,12/20/21 2:54,-25.1667,45.05,67.41,71,95,10.92
246,Sao Miguel Do Araguaia,BR,12/20/21 2:54,-13.275,-50.1628,72.12,92,35,3.4
247,Altay,CN,12/20/21 2:54,47.8667,88.1167,25.79,70,99,3.13
248,Lethem,GY,12/20/21 2:54,3.3803,-59.7968,77.85,78,98,8.59
249,Gorontalo,ID,12/20/21 2:54,0.5412,123.0595,89.92,56,100,5.14
250,Bengkulu,ID,12/20/21 2:54,-3.8004,102.2655,81.25,68,100,5.73
251,Saint-Philippe,RE,12/20/21 2:54,-21.3585,55.7679,80.47,83,37,7.07
252,Port-Gentil,GA,12/20/21 2:54,-0.7193,8.7815,80.92,78,75,3.6
253,Quanzhou,CN,12/20/21 2:54,24.9139,118.5858,61.16,43,99,2.37
254,Tual,ID,12/20/21 2:53,-5.6667,132.75,84.38,68,92,2.15
