City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Bonthe,SL,84.2,Clouds,7.5264,-12.505,Bonthe Holiday Village
327,Bambous Virieux,MU,77.25,Rain,-20.3428,57.7575,Casa Tia Villa
337,Mitu,CO,84.15,Clouds,1.1983,-70.1733,
339,Mamallapuram,IN,78.85,Clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
344,Upata,VE,84.34,Clouds,8.0086,-62.3989,Posada Villa Nela
345,Namatanai,PG,80.15,Rain,-3.6667,152.4333,Seagulls Inn Namatani
350,Lakeside,US,78.94,Clouds,30.13,-81.7682,Whitey's Fish Camp
351,Amahai,ID,77.76,Clouds,-3.3333,128.9167,HOTEL ISABELA
352,Faanui,PF,81.14,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
353,Salinopolis,BR,81.01,Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
356,Hambantota,LK,76.41,Clouds,6.1241,81.1185,Bungalow 63
360,Micheweni,TZ,82.87,Clouds,-4.9667,39.8333,
361,Kununurra,AU,80.58,Clouds,-15.7667,128.7333,Hotel Kununurra
365,La Orilla,MX,81.27,Clear,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
369,Karratha,AU,81.63,Clouds,-20.7377,116.8463,ibis Styles Karratha
373,Fare,PF,81.0,Clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
377,Thinadhoo,MV,80.83,Clouds,0.5333,72.9333,
379,Sibolga,ID,75.33,Clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
381,Pangai,TO,80.71,Rain,-19.8,-174.35,Ha'apai Beach Resort
384,Morondava,MG,81.68,Clouds,-20.2833,44.2833,La Case Bambou
388,Houston,US,80.62,Haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
393,Caravelas,BR,84.18,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
394,Werda,BW,87.42,Clear,-25.2667,23.2833,
398,Muisne,EC,80.71,Clouds,0.6,-80.0333,Quinta Samay
407,Letlhakane,BW,81.05,Rain,-21.4167,25.5833,Motswedi Hotel P650
409,Buala,SB,78.67,Rain,-8.145,159.5921,Maringe Lagoon Lodge
410,Jacqueville,CI,84.11,Clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
412,Barra Patuca,HN,82.58,Clouds,15.8,-84.2833,
417,Muscat,OM,75.22,Clouds,23.6139,58.5922,Mutrah Hotel
419,Cancun,MX,84.13,Clouds,21.1743,-86.8466,Hotel Tankah Cancun
421,Inirida,CO,88.99,Clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
423,Saint-Joseph,RE,75.58,Clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
424,Epe,NG,81.55,Clouds,6.5841,3.9834,MAGVILLE HOTEL
431,Santa Cruz,BO,89.65,Clouds,-17.8,-63.1667,Aviador Hotel Boutique
434,Sulangan,PH,78.48,Clouds,11.1373,123.7228,Maia's Beach Resort
437,Bathsheba,BB,86.61,Clouds,13.2167,-59.5167,Atlantis Hotel
446,Ankazoabo,MG,75.43,Clear,-22.2833,44.5167,ENCEIN BUREAU CISCO
448,Malpe,IN,81.7,Clouds,13.35,74.7167,Hotel Sri Krishna Residency
449,Jeremie,HT,81.77,Clear,18.65,-74.1167,Auberge’Inn
450,Rawson,AR,77.43,Clouds,-43.3002,-65.1023,Hosteria Sampedro
459,Tevaitoa,PF,81.0,Clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
464,Puerto Escondido,MX,83.53,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
469,Sambava,MG,78.78,Rain,-14.2667,50.1667,Melrose
471,Cacapava Do Sul,BR,82.89,Clouds,-30.5122,-53.4914,Hotel Portal
480,Oistins,BB,86.09,Clouds,13.0667,-59.5333,Butterfly Beach Hotel
481,Fomboni,KM,83.03,Clouds,-12.28,43.7425,Auberge les abou
488,Puerto Narino,CO,76.95,Clouds,-3.7703,-70.3831,Eware Refugio Amazonico
491,Paredon,MX,84.18,Clear,16.0333,-93.8667,Hotel Principal Paredon
494,Alofi,NU,75.09,Rain,-19.0595,-169.9187,Taloa Heights
498,Alenquer,BR,82.74,Clouds,-1.9417,-54.7383,Josilene Castro
502,Belmonte,BR,84.7,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
