City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Esil,KZ,51.9556,66.4042,2.84,89,100,3.06,Clouds
129,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,0,3.44,Clear
130,Puro,PH,12.4841,123.3827,76.5,78,100,18.19,Clouds
131,Chernyshevskiy,RU,63.0128,112.4714,-14.37,100,100,1.79,Clouds
132,Hamilton,US,39.1834,-84.5333,54.81,91,75,4.61,Clouds
133,Krasnoselkup,RU,65.7,82.4667,-33.25,100,100,4.94,Clouds
134,Gordeyevka,RU,52.9569,31.9703,33.37,98,100,10.27,Clouds
135,Duekoue,CI,6.7472,-7.3496,95.09,26,51,4.25,Clouds
136,Sitka,US,57.0531,-135.33,37.29,70,90,12.66,Clouds
137,Bredasdorp,ZA,-34.5322,20.0403,69.12,68,33,5.75,Clouds
138,Vallenar,CL,-28.5708,-70.7581,74.03,52,85,7.58,Clouds
139,Tiksi,RU,71.6872,128.8694,-33.7,99,100,2.89,Clouds
140,Sakakah,SA,29.9697,40.2064,53.17,62,13,12.97,Clouds
141,Valparaiso,CL,-33.0393,-71.6273,79.03,44,0,13.8,Clear
142,Neiafu,TO,-18.65,-173.9833,81.28,83,40,9.22,Clouds
143,Aginskoye,RU,51.1,114.53,2.93,96,100,4.72,Clouds
144,Komsomolskiy,UZ,40.4272,71.7189,33.22,59,100,4.61,Haze
145,Labuhan,ID,-6.8844,112.2051,79.5,83,100,6.44,Clouds
146,Te Anau,NZ,-45.4167,167.7167,54.39,94,89,4.92,Clouds
147,Nome,US,64.5011,-165.4064,-5.73,65,1,21.85,Clear
148,Itacarambi,BR,-15.1022,-44.0919,77.9,76,100,5.17,Clouds
149,Faya,SA,18.3851,42.4509,56.77,68,23,4.92,Clouds
150,Chingirlau,KZ,51.095,54.0814,8.92,95,27,7.2,Clouds
151,La Ronge,CA,55.1001,-105.2842,-21.78,76,90,5.75,Clouds
152,Santa Lucia,ES,27.9117,-15.5407,63.72,68,0,10.36,Clear
153,Bunschoten,NL,52.2333,5.3667,54.12,88,98,13.6,Clouds
154,Qasigiannguit,GL,68.8193,-51.1922,19.65,75,100,4.32,Clouds
155,Rincon,US,32.296,-81.2354,78.98,83,75,8.05,Clouds
156,Bitung,ID,1.4451,125.1824,72.45,87,100,9.64,Clouds
157,Port Macquarie,AU,-31.4333,152.9167,64.36,82,25,4.9,Clouds
158,North Branch,US,45.5113,-92.9802,18.7,85,100,9.89,Clouds
159,Gat,IL,31.61,34.7642,61.48,66,100,7.47,Clouds
160,Yenagoa,NG,4.9247,6.2642,86.14,59,37,10.54,Clouds
161,Laguna,US,38.421,-121.4238,46.9,100,90,5.75,Fog
162,San Quintin,MX,30.4833,-115.95,60.44,69,74,3.31,Clouds
163,Fundao,BR,-19.9341,-40.4047,78.33,79,100,6.29,Clouds
164,Hervey Bay,AU,-25.2986,152.8535,73.51,88,100,16.96,Clouds
165,Mount Isa,AU,-20.7333,139.5,82.17,51,72,6.91,Clouds
166,Jadu,LY,31.953,12.0261,53.29,70,1,8.95,Clear
167,Plouzane,FR,48.3833,-4.6167,59.02,97,75,12.66,Clouds
168,Hukuntsi,BW,-24.0,21.75,91.24,15,0,10.92,Clear
169,Saldanha,ZA,-33.0117,17.9442,68.05,72,82,9.53,Clouds
170,Shihezi,CN,44.3,86.0333,8.8,95,83,3.94,Clouds
171,Hamina,FI,60.5697,27.1979,31.28,97,51,6.22,Clouds
172,Turkistan,KZ,43.0,68.0,42.17,55,100,5.19,Clouds
173,Wuwei,CN,37.9281,102.6414,24.33,31,4,4.34,Clear
174,Havelock,US,34.8791,-76.9013,71.6,68,1,6.91,Clear
175,Bataysk,RU,47.1398,39.7518,31.05,99,100,3.42,Snow
176,Half Moon Bay,US,37.4636,-122.4286,48.07,78,1,5.75,Clear
177,Yagodnoye,RU,62.55,149.6667,-44.93,99,78,3.4,Clouds
178,Baykit,RU,61.67,96.37,-26.9,100,83,1.72,Clouds
179,Bagdarin,RU,54.4333,113.6,-7.06,99,100,0.96,Clouds
180,Broken Hill,AU,-31.95,141.4333,76.71,23,31,8.05,Clouds
181,Gijon,ES,43.5357,-5.6615,62.06,74,95,4.88,Clouds
182,Ilulissat,GL,69.2167,-51.1,19.42,25,100,14.97,Clouds
183,Valdemarpils,LV,57.3707,22.5919,38.62,99,100,5.21,Clouds
184,The Valley,AI,18.217,-63.0578,84.06,54,20,14.97,Clouds
185,Chiampo,IT,45.5459,11.2796,41.22,75,6,1.77,Clear
186,Tommot,RU,58.9564,126.2925,-12.6,99,100,1.63,Clouds
187,San Policarpo,PH,12.1791,125.5072,78.39,80,100,21.07,Clouds
188,Ponta Do Sol,PT,32.6667,-17.1,75.83,68,97,6.46,Clouds
189,Lagoa,PT,39.05,-27.9833,58.87,66,11,22.91,Clouds
190,Jesi,IT,43.5288,13.2402,41.88,100,90,2.3,Fog
191,Kieta,PG,-6.2167,155.6333,79.9,84,100,3.83,Rain
192,Takoradi,GH,4.8845,-1.7554,81.79,76,58,8.77,Clouds
193,Forrest City,US,35.0081,-90.7898,67.86,78,92,15.28,Clouds
194,Hammerfest,NO,70.6634,23.6821,27.05,80,75,11.5,Snow
195,Kalmar,SE,56.6616,16.3616,48.13,87,75,9.22,Clouds
196,San Antonio,US,29.4241,-98.4936,74.41,83,75,11.5,Clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,79.9,78,40,3.44,Clouds
198,Carutapera,BR,-1.195,-46.02,81.84,83,63,8.48,Clouds
199,Piracanjuba,BR,-17.3028,-49.0167,75.52,80,100,9.66,Clouds
200,Asia,PH,9.5506,122.5164,76.37,84,100,10.09,Clouds
201,Bilibino,RU,68.0546,166.4372,-22.68,99,74,4.45,Clouds
202,Privolnyy,RU,44.0998,46.6587,41.41,93,98,7.07,Clouds
203,Longyearbyen,SJ,78.2186,15.6401,10.24,56,0,9.22,Clear
204,Shimoda,JP,34.6667,138.95,36.46,57,0,21.83,Clear
205,Juba,SS,4.8517,31.5825,88.09,31,68,4.29,Clouds
206,Xucheng,CN,20.35,110.1288,65.1,84,100,13.24,Clouds
207,Clyde River,CA,70.4692,-68.5914,-10.97,84,90,8.05,Snow
208,Berlevag,NO,70.8578,29.0864,25.32,55,72,11.7,Snow
209,Khovu-Aksy,RU,51.1333,93.6,-9.36,90,69,4.85,Clouds
210,Deniliquin,AU,-35.5333,144.9667,75.47,27,0,6.62,Clear
211,Nynashamn,SE,58.9034,17.9479,43.14,96,100,7.49,Clouds
212,Sheksna,RU,59.21,38.5107,22.96,95,100,11.14,Snow
213,Ohrid,MK,41.1172,20.8019,39.09,87,0,0.0,Clear
214,Melenki,RU,55.3343,41.6295,12.81,97,90,7.31,Clouds
215,Kailua,US,21.4022,-157.7394,71.58,94,75,0.0,Rain
216,Ballina,AU,-28.8667,153.5667,73.36,78,75,10.36,Rain
217,Kuching,MY,1.55,110.3333,79.02,94,20,0.0,Rain
218,Onokhoy,RU,51.932,108.0747,-0.65,93,65,5.82,Clouds
219,Jambi,ID,-1.6,103.6167,73.8,98,100,3.78,Rain
220,Asyut,EG,27.181,31.1837,59.79,68,100,4.07,Clouds
221,Hay River,CA,60.8156,-115.7999,-29.22,75,75,4.61,Clouds
222,Vardo,NO,70.3705,31.1107,29.28,67,96,19.33,Snow
223,Zhanaozen,KZ,43.3,52.8,30.78,60,54,6.26,Clouds
224,Chinsali,ZM,-10.5414,32.0816,65.88,93,97,7.61,Rain
225,Leesburg,US,39.1157,-77.5636,56.71,94,90,8.05,Clouds
226,Senneterre,CA,48.3835,-77.2328,25.02,95,100,9.4,Snow
227,Mugur-Aksy,RU,50.35,90.5,-7.1,71,60,5.86,Clouds
228,Jardim Do Serido,BR,-6.5844,-36.7744,93.06,33,85,15.95,Clouds
229,Dauriya,RU,49.9333,116.8667,-3.46,99,100,2.35,Snow
230,Birao,CF,10.2849,22.7882,80.8,22,71,4.88,Clouds
231,Fort-Shevchenko,KZ,44.5086,50.263,38.32,61,62,6.85,Clouds
232,Rio Grande,BR,-32.035,-52.0986,78.84,74,54,12.75,Clouds
233,Omboue,GA,-1.5746,9.2618,78.06,88,75,7.09,Clouds
234,Lasa,IT,46.6166,10.7002,45.48,52,2,5.57,Clear
235,Quzhou,CN,28.9594,118.8686,43.23,60,90,4.52,Clouds
236,Neuquen,AR,-38.9516,-68.0591,78.69,24,0,8.05,Clear
237,Turtas,RU,58.9417,69.1325,0.86,95,41,5.61,Clouds
238,Gorgan,IR,36.8387,54.4348,48.16,76,75,0.0,Clouds
239,Pisco,PE,-13.7,-76.2167,75.25,64,0,6.91,Clear
240,Sao Filipe,CV,14.8961,-24.4956,78.55,56,87,9.24,Clouds
241,Gudari,IN,19.35,83.7833,66.65,85,54,1.43,Clouds
242,Vila Velha,BR,-20.3297,-40.2925,78.75,78,90,13.8,Rain
243,Weligama,LK,5.9667,80.4167,75.4,88,71,10.02,Clouds
244,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,15.55,95,97,5.21,Clouds
245,Gevgelija,MK,41.1392,22.5025,48.85,73,32,6.67,Clouds
